x,BSpline1,f_exact(x)
0.53750000,0.16250000,0.12161520
0.54000000,0.16000000,0.12062726
0.54250000,0.15750000,0.11965077
0.54500000,0.15500000,0.11868556
0.54750000,0.15250000,0.11773146
0.55000000,0.15000000,0.11678832
0.55250000,0.14750000,0.11585598
0.55500000,0.14500000,0.11493427
0.55750000,0.14250000,0.11402305
0.56000000,0.14000000,0.11312217
0.56250000,0.13750000,0.11223148
0.56500000,0.13500000,0.11135082
0.56750000,0.13250000,0.11048007
0.57000000,0.13000000,0.10961907
0.57250000,0.12750000,0.10876770
0.57500000,0.12500000,0.10792580
0.57750000,0.12250000,0.10709325
0.58000000,0.12000000,0.10626993
0.58250000,0.11750000,0.10545568
0.58500000,0.11500000,0.10465040
0.58750000,0.11250000,0.10385396
0.59000000,0.11000000,0.10306622
0.59250000,0.10750000,0.10228708
0.59500000,0.10500000,0.10151640
0.59750000,0.10250000,0.10075408
0.60000000,0.10000000,0.10000000
0.60250000,0.09961538,0.09925404
0.60500000,0.09923077,0.09851610
0.60750000,0.09884615,0.09778606
0.61000000,0.09846154,0.09706382
0.61250000,0.09807692,0.09634927
0.61500000,0.09769231,0.09564230
0.61750000,0.09730769,0.09494281
0.62000000,0.09692308,0.09425071
0.62250000,0.09653846,0.09356588
0.62500000,0.09615385,0.09288824
0.62750000,0.09576923,0.09221769
0.63000000,0.09538462,0.09155413
0.63250000,0.09500000,0.09089747
0.63500000,0.09461538,0.09024762
0.63750000,0.09423077,0.08960448
0.64000000,0.09384615,0.08896797
0.64250000,0.09346154,0.08833800
0.64500000,0.09307692,0.08771449
0.64750000,0.09269231,0.08709734
0.65000000,0.09230769,0.08648649
0.65250000,0.09192308,0.08588183
0.65500000,0.09153846,0.08528330
0.65750000,0.09115385,0.08469081
0.66000000,0.09076923,0.08410429
0.66250000,0.09038462,0.08352365
0.66500000,0.09000000,0.08294883
0.66750000,0.08961538,0.08237974
0.67000000,0.08923077,0.08181632
0.67250000,0.08884615,0.08125849
0.67500000,0.08846154,0.08070618
0.67750000,0.08807692,0.08015932
0.68000000,0.08769231,0.07961783
0.68250000,0.08730769,0.07908166
0.68500000,0.08692308,0.07855074
0.68750000,0.08653846,0.07802499
0.69000000,0.08615385,0.07750436
0.69250000,0.08576923,0.07698878
0.69500000,0.08538462,0.07647818
0.69750000,0.08500000,0.07597251
0.70000000,0.08461538,0.07547170
0.70250000,0.08423077,0.07497569
0.70500000,0.08384615,0.07448443
0.70750000,0.08346154,0.07399785
0.71000000,0.08307692,0.07351590
0.71250000,0.08269231,0.07303852
0.71500000,0.08230769,0.07256565
0.71750000,0.08192308,0.07209724
0.72000000,0.08153846,0.07163324
0.72250000,0.08115385,0.07117359
0.72500000,0.08076923,0.07071823
0.72750000,0.08038462,0.07026712
0.73000000,0.08000000,0.06982021
0.73250000,0.07961538,0.06937745
0.73500000,0.07923077,0.06893877
0.73750000,0.07884615,0.06850415
0.74000000,0.07846154,0.06807352
0.74250000,0.07807692,0.06764684
0.74500000,0.07769231,0.06722407
0.74750000,0.07730769,0.06680515
0.75000000,0.07692308,0.06639004
0.75250000,0.07653846,0.06597870
0.75500000,0.07615385,0.06557108
0.75750000,0.07576923,0.06516714
0.76000000,0.07538462,0.06476684
0.76250000,0.07500000,0.06437013
0.76500000,0.07461538,0.06397697
0.76750000,0.07423077,0.06358732
0.77000000,0.07384615,0.06320114
0.77250000,0.07346154,0.06281839
0.77500000,0.07307692,0.06243902
0.77750000,0.07269231,0.06206301
0.78000000,0.07230769,0.06169031
0.78250000,0.07192308,0.06132089
0.78500000,0.07153846,0.06095470
0.78750000,0.07115385,0.06059172
0.79000000,0.07076923,0.06023189
0.79250000,0.07038462,0.05987520
0.79500000,0.07000000,0.05952160
0.79750000,0.06961538,0.05917105
0.80000000,0.06923077,0.05882353
0.80250000,0.06884615,0.05847900
0.80500000,0.06846154,0.05813742
0.80750000,0.06807692,0.05779877
0.81000000,0.06769231,0.05746301
0.81250000,0.06730769,0.05713010
0.81500000,0.06692308,0.05680003
0.81750000,0.06653846,0.05647275
0.82000000,0.06615385,0.05614823
0.82250000,0.06576923,0.05582645
0.82500000,0.06538462,0.05550737
