x,BSpline3_NATURAL,BSpline3_COMPLETE,BSpline3_NOT_A_KNOT,BSpline3_SECOND,f_exact(x)
-0.65000000,0.08648649,0.08648649,0.08648649,0.08648649,0.08648649
-0.64750000,0.08709730,0.08709731,0.08709731,0.08709731,0.08709734
-0.64500000,0.08771438,0.08771438,0.08771438,0.08771438,0.08771449
-0.64250000,0.08833781,0.08833781,0.08833781,0.08833781,0.08833800
-0.64000000,0.08896768,0.08896768,0.08896768,0.08896768,0.08896797
-0.63750000,0.08960409,0.08960410,0.08960410,0.08960410,0.08960448
-0.63500000,0.09024715,0.09024715,0.09024715,0.09024715,0.09024762
-0.63250000,0.09089693,0.09089693,0.09089693,0.09089693,0.09089747
-0.63000000,0.09155354,0.09155354,0.09155354,0.09155354,0.09155413
-0.62750000,0.09221707,0.09221707,0.09221707,0.09221707,0.09221769
-0.62500000,0.09288762,0.09288762,0.09288762,0.09288762,0.09288824
-0.62250000,0.09356528,0.09356529,0.09356529,0.09356529,0.09356588
-0.62000000,0.09425016,0.09425016,0.09425016,0.09425016,0.09425071
-0.61750000,0.09494233,0.09494233,0.09494233,0.09494233,0.09494281
-0.61500000,0.09564190,0.09564190,0.09564190,0.09564190,0.09564230
-0.61250000,0.09634896,0.09634896,0.09634896,0.09634896,0.09634927
-0.61000000,0.09706361,0.09706361,0.09706361,0.09706361,0.09706382
-0.60750000,0.09778595,0.09778595,0.09778595,0.09778595,0.09778606
-0.60500000,0.09851606,0.09851606,0.09851606,0.09851606,0.09851610
-0.60250000,0.09925405,0.09925405,0.09925405,0.09925405,0.09925404
-0.60000000,0.10000000,0.10000000,0.10000000,0.10000000,0.10000000
-0.59750000,0.10075402,0.10075402,0.10075402,0.10075402,0.10075408
-0.59500000,0.10151624,0.10151624,0.10151624,0.10151624,0.10151640
-0.59250000,0.10228679,0.10228679,0.10228679,0.10228679,0.10228708
-0.59000000,0.10306580,0.10306580,0.10306580,0.10306580,0.10306622
-0.58750000,0.10385340,0.10385340,0.10385340,0.10385340,0.10385396
-0.58500000,0.10464972,0.10464972,0.10464972,0.10464972,0.10465040
-0.58250000,0.10545490,0.10545490,0.10545490,0.10545490,0.10545568
-0.58000000,0.10626907,0.10626907,0.10626907,0.10626907,0.10626993
-0.57750000,0.10709236,0.10709236,0.10709236,0.10709236,0.10709325
-0.57500000,0.10792491,0.10792491,0.10792491,0.10792491,0.10792580
-0.57250000,0.10876683,0.10876683,0.10876683,0.10876683,0.10876770
-0.57000000,0.10961828,0.10961828,0.10961828,0.10961828,0.10961907
-0.56750000,0.11047937,0.11047937,0.11047937,0.11047937,0.11048007
-0.56500000,0.11135025,0.11135025,0.11135025,0.11135025,0.11135082
-0.56250000,0.11223104,0.11223104,0.11223104,0.11223104,0.11223148
-0.56000000,0.11312188,0.11312188,0.11312188,0.11312188,0.11312217
-0.55750000,0.11402289,0.11402289,0.11402289,0.11402289,0.11402305
-0.55500000,0.11493421,0.11493421,0.11493421,0.11493421,0.11493427
-0.55250000,0.11585598,0.11585598,0.11585598,0.11585598,0.11585598
-0.55000000,0.11678832,0.11678832,0.11678832,0.11678832,0.11678832
-0.54750000,0.11773138,0.11773138,0.11773138,0.11773138,0.11773146
